cep;endereco;id_bairro;id_cidade;id_estado;id_regiao;tipo;logradouro;latitude;longitude;ativo
11770484;Rua Castro Alves;54838;54;26;4;"";Rua Castro Alves;0.00000000;0.00000000;true
11771826;Rua Um;54850;54;26;4;"";Rua Um;0.00000000;0.00000000;true
11775196;Rua Dezenove;54867;54;26;4;"";Rua Dezenove;0.00000000;0.00000000;true
11771428;Rua Maria do Carmo Mendes de Freitas;54872;54;26;4;"";Rua Maria do Carmo Mendes de Freitas;0.00000000;0.00000000;true
11784168;Rua Brinco da Princesa;54862;54;26;4;"";Rua Brinco da Princesa;0.00000000;0.00000000;true
11770548;Rua Duque de Caxias;54838;54;26;4;"";Rua Duque de Caxias;0.00000000;0.00000000;true
11776798;Rua C;54897;54;26;4;"";Rua C;0.00000000;0.00000000;true
11771276;Rua Martinópolis;54893;54;26;4;"";Rua Martinópolis;0.00000000;0.00000000;true
11776716;Rua José Pereira da Silva;54824;54;26;4;"";Rua José Pereira da Silva;0.00000000;0.00000000;true
11775550;Rua Pérola;54861;54;26;4;"";Rua Pérola;0.00000000;0.00000000;true
11771248;Rua Iacri;54893;54;26;4;"";Rua Iacri;0.00000000;0.00000000;true
11772070;Rua Paracatú;54819;54;26;4;"";Rua Paracatú;0.00000000;0.00000000;true
11774128;Rua Dezenove;54855;54;26;4;"";Rua Dezenove;0.00000000;0.00000000;true
11782532;Rua Sessenta e Três;54831;54;26;4;"";Rua Sessenta e Três;0.00000000;0.00000000;true
11770658;Avenida Padre Anchieta;54869;54;26;4;"";Avenida Padre Anchieta;0.00000000;0.00000000;true
11772304;Rua Quatro;54863;54;26;4;"";Rua Quatro;0.00000000;0.00000000;true
11772252;Avenida Governador Mário Covas Júnior;54840;54;26;4;"";Avenida Governador Mário Covas Júnior;0.00000000;0.00000000;true
11775044;Avenida Josedy;54837;54;26;4;"";Avenida Josedy;0.00000000;0.00000000;true
11771550;Rua Primeiro Centenário da Igreja Batista;54817;54;26;4;"";Rua Primeiro Centenário da Igreja Batista;0.00000000;0.00000000;true
11770178;Rua Francisco Garcia;54898;54;26;4;"";Rua Francisco Garcia;0.00000000;0.00000000;true
11783638;Rua Sebastião Anunciato;54857;54;26;4;"";Rua Sebastião Anunciato;0.00000000;0.00000000;true
11784462;Rua Professor Mário Cabral Martins;54899;54;26;4;"";Rua Professor Mário Cabral Martins;0.00000000;0.00000000;true
11772568;Rua das Camélias;54883;54;26;4;"";Rua das Camélias;0.00000000;0.00000000;true
11782658;Rua Vinte e Três;54831;54;26;4;"";Rua Vinte e Três;0.00000000;0.00000000;true
11772790;Rua Lituânia;54827;54;26;4;"";Rua Lituânia;0.00000000;0.00000000;true
11773522;Rua Dois;54848;54;26;4;"";Rua Dois;0.00000000;0.00000000;true
11776624;Rua Seis;54881;54;26;4;"";Rua Seis;0.00000000;0.00000000;true
11774074;Rua Um;54891;54;26;4;"";Rua Um;0.00000000;0.00000000;true
11770228;Rua Catarina Rosa de Aquino;54870;54;26;4;"";Rua Catarina Rosa de Aquino;0.00000000;0.00000000;true
11785302;Estrada Yoshio Moritani;54900;54;26;4;"";Estrada Yoshio Moritani;0.00000000;0.00000000;true
11775046;Rua Cinco;54837;54;26;4;"";Rua Cinco;0.00000000;0.00000000;true
11782834;Rua Principal;54821;54;26;4;"";Rua Principal;0.00000000;0.00000000;true
11785146;Rua Jornalista Audálio Dantas;54828;54;26;4;"";Rua Jornalista Audálio Dantas;0.00000000;0.00000000;true
11774144;Rua Vinte e Um;54855;54;26;4;"";Rua Vinte e Um;0.00000000;0.00000000;true
11770630;Rua das Margaridas;54876;54;26;4;"";Rua das Margaridas;0.00000000;0.00000000;true
11786508;Rua Benedito Tereza;54901;54;26;4;"";Rua Benedito Tereza;0.00000000;0.00000000;true
11775212;Rua Dezoito;54867;54;26;4;"";Rua Dezoito;0.00000000;0.00000000;true
11783342;Rua Amarelo;54830;54;26;4;"";Rua Amarelo;0.00000000;0.00000000;true
11770888;Rua Dezoito;54841;54;26;4;"";Rua Dezoito;0.00000000;0.00000000;true
11773164;Rua F;54826;54;26;4;"";Rua F;0.00000000;0.00000000;true
11784230;Alameda do Canário;54874;54;26;4;"";Alameda do Canário;0.00000000;0.00000000;true
11777256;Avenida Antonio Gutierres;54834;54;26;4;"";Avenida Antonio Gutierres;0.00000000;0.00000000;true
11785138;Rua Antonio Soares;54828;54;26;4;"";Rua Antonio Soares;0.00000000;0.00000000;true
11770566;Rua Tapajós;54838;54;26;4;"";Rua Tapajós;0.00000000;0.00000000;true
11773064;Rua dos Angicos Brancos;54825;54;26;4;"";Rua dos Angicos Brancos;0.00000000;0.00000000;true
11773022;Rua das Glicínias;54854;54;26;4;"";Rua das Glicínias;0.00000000;0.00000000;true
11770354;Rua José Bonifacio;54847;54;26;4;"";Rua José Bonifacio;0.00000000;0.00000000;true
11770172;Rua Porfírio Diogo Santana;54898;54;26;4;"";Rua Porfírio Diogo Santana;0.00000000;0.00000000;true
11773102;Rua das Orquídeas;54868;54;26;4;"";Rua das Orquídeas;0.00000000;0.00000000;true
11772426;Rua Vinte;54832;54;26;4;"";Rua Vinte;0.00000000;0.00000000;true
11772770;Rua Costa Rica;54827;54;26;4;"";Rua Costa Rica;0.00000000;0.00000000;true
11770642;Rua Carlos Gomes;54869;54;26;4;"";Rua Carlos Gomes;0.00000000;0.00000000;true
11771554;Rua Benedito Francisco Ricardo;54817;54;26;4;"";Rua Benedito Francisco Ricardo;0.00000000;0.00000000;true
11773550;Rua Vinte e Cinco;54848;54;26;4;"";Rua Vinte e Cinco;0.00000000;0.00000000;true
11772048;Rua Amazonas;54819;54;26;4;"";Rua Amazonas;0.00000000;0.00000000;true
11782540;Rua Seis;54831;54;26;4;"";Rua Seis;0.00000000;0.00000000;true
11775014;Alameda Bernardino Pisciotta;54837;54;26;4;"";Alameda Bernardino Pisciotta;0.00000000;0.00000000;true
11782636;Rua Paulo dos Santos;54831;54;26;4;"";Rua Paulo dos Santos;0.00000000;0.00000000;true
11781390;Estrada Iporanga;54902;54;26;4;"";Estrada Iporanga;0.00000000;0.00000000;true
11773460;Rua Vinte e Cinco;54903;54;26;4;"";Rua Vinte e Cinco;0.00000000;0.00000000;true
11775028;Rua Ermide Dare;54837;54;26;4;"";Rua Ermide Dare;0.00000000;0.00000000;true
11772468;Rua das Hortências;54892;54;26;4;"";Rua das Hortências;0.00000000;0.00000000;true
11783138;Rua Bom Pastor;54820;54;26;4;"";Rua Bom Pastor;0.00000000;0.00000000;true
11775194;Rua de Pedestre Treze;54867;54;26;4;"";Rua de Pedestre Treze;0.00000000;0.00000000;true
11783334;Rua Lilás;54830;54;26;4;"";Rua Lilás;0.00000000;0.00000000;true
11770414;Rua Maranhão;54823;54;26;4;"";Rua Maranhão;0.00000000;0.00000000;true
11783124;Rua Rosivaldo Malta Lourenço;54820;54;26;4;"";Rua Rosivaldo Malta Lourenço;0.00000000;0.00000000;true
11770148;Avenida Padre Leonardo Nunes;54816;54;26;4;"";Avenida Padre Leonardo Nunes;0.00000000;0.00000000;true
11771602;Avenida Professora Terezinha Rodrigues Kalil;54894;54;26;4;"";Avenida Professora Terezinha Rodrigues Kalil;0.00000000;0.00000000;true
11774420;Rua Seis;54846;54;26;4;"";Rua Seis;0.00000000;0.00000000;true
11778598;Rua Dois;54851;54;26;4;"";Rua Dois;0.00000000;0.00000000;true
11773846;Rua Quinze;54849;54;26;4;"";Rua Quinze;0.00000000;0.00000000;true
11772150;Rua Bela;54819;54;26;4;"";Rua Bela;0.00000000;0.00000000;true
11783314;Rua da Goiabeira;54830;54;26;4;"";Rua da Goiabeira;0.00000000;0.00000000;true
11784190;Rua das Lobelias;54862;54;26;4;"";Rua das Lobelias;0.00000000;0.00000000;true
11776860;Rua José de Lima;54886;54;26;4;"";Rua José de Lima;0.00000000;0.00000000;true
11773528;Rua Quatorze;54848;54;26;4;"";Rua Quatorze;0.00000000;0.00000000;true
11771008;Avenida Peruíbe;54860;54;26;4;"";Avenida Peruíbe;0.00000000;0.00000000;true
11783184;Rua José Domingos dos Santos;54904;54;26;4;"";Rua José Domingos dos Santos;0.00000000;0.00000000;true
11771824;Rua Dois;54850;54;26;4;"";Rua Dois;0.00000000;0.00000000;true
11776754;Avenida do Canal;54824;54;26;4;"";Avenida do Canal;0.00000000;0.00000000;true
11771244;Rua Inúbia Paulista;54893;54;26;4;"";Rua Inúbia Paulista;0.00000000;0.00000000;true
11777444;Rua Três;54878;54;26;4;"";Rua Três;0.00000000;0.00000000;true
11783662;Rua Odilo Lourenço Fernandes;54857;54;26;4;"";Rua Odilo Lourenço Fernandes;0.00000000;0.00000000;true
11782782;Rua Piracicaba;54821;54;26;4;"";Rua Piracicaba;0.00000000;0.00000000;true
11770214;Rua Abilio Augusto Monteiro;54870;54;26;4;"";Rua Abilio Augusto Monteiro;0.00000000;0.00000000;true
11772338;Rua Mirella;54863;54;26;4;"";Rua Mirella;0.00000000;0.00000000;true
11770550;Rua Otto Frederico Pinkalski;54838;54;26;4;"";Rua Otto Frederico Pinkalski;0.00000000;0.00000000;true
11771658;Rua Cinco;54887;54;26;4;"";Rua Cinco;0.00000000;0.00000000;true
11777020;Rua Dez;54856;54;26;4;"";Rua Dez;0.00000000;0.00000000;true
11773192;Viela Quatro;54826;54;26;4;"";Viela Quatro;0.00000000;0.00000000;true
11785212;Rua Leodoro de Lima;54828;54;26;4;"";Rua Leodoro de Lima;0.00000000;0.00000000;true
11771684;Rua Um;54844;54;26;4;"";Rua Um;0.00000000;0.00000000;true
11775704;Rua Jaceguai;54818;54;26;4;"";Rua Jaceguai;0.00000000;0.00000000;true
11775234;Rua João Baldoino dos Santos;54867;54;26;4;"";Rua João Baldoino dos Santos;0.00000000;0.00000000;true
11776602;Rua José Vieira de Sousa;54881;54;26;4;"";Rua José Vieira de Sousa;0.00000000;0.00000000;true
11771470;Avenida Professora Terezinha Rodrigues Kalil;54858;54;26;4;"";Avenida Professora Terezinha Rodrigues Kalil;0.00000000;0.00000000;true
11772820;Rua Lituânia;54827;54;26;4;"";Rua Lituânia;0.00000000;0.00000000;true
