id;cidade;id_estado;latitude;longitude;cod_ibge;cod_ddd;area_km
4223;Lucas do Rio Verde;13;-13.06279000;-55.91867000;5105259;65;3683.59
4224;Nobres;13;-14.71850000;-56.33403000;5105903;65;3904.42
4225;Rosário Oeste;13;-14.83258000;-56.43000000;5107701;65;7383.11
4226;Acorizal;13;-15.15763000;-56.40842000;5100102;65;849.35
4227;Jangada;13;-15.23629000;-56.49207000;5104906;65;1018.49
4229;Terra Nova do Norte;13;-10.59949000;-55.11842000;5108055;66;2432.07
4230;Nova Guarita;13;-10.31698000;-55.41044000;5108808;66;1114.13
4231;Itaúba;13;-11.00718000;-55.24553000;5104559;66;4529.58
4232;Nova Canaã do Norte;13;-10.55491000;-55.94520000;5106216;66;5955.41
4233;Guarantã do Norte;13;-9.95451000;-54.90773000;5104104;66;4734.59
4234;Matupá;13;-10.16694000;-54.93384000;5105606;66;5219.03
4235;Novo Mundo;13;-9.97598000;-55.17972000;5106265;66;5791.05
4236;Peixoto de Azevedo;13;-10.24564000;-54.98973000;5106422;66;14400.64
4237;Marcelândia;13;-11.08604000;-54.51946000;5105580;66;12273.55
4238;Cláudia;13;-11.50728000;-54.87550000;5103056;66;3849.99
4239;União do Sul;13;-11.53326000;-54.36637000;5108303;66;4581.91
4240;Santa Carmem;13;-11.97338000;-55.27905000;5107248;66;3855.36
4241;Nova Santa Helena;13;-10.83690470;-55.17878190;5106190;66;2375.58
4242;Sinop;13;-11.98641000;-55.52128000;5107909;66;3942.23
4243;Porto dos Gaúchos;13;-11.53680000;-57.41366000;5106802;66;6862.12
4244;Tabaporã;13;-11.30853370;-56.82158930;5107941;66;8448.00
4245;Nova Bandeirantes;13;-9.85138000;-57.81167000;5106158;66;9593.27
4246;Novo Horizonte do Norte;13;-11.38999000;-57.31584000;5106273;66;898.50
4247;Tapurah;13;-15.22219000;-59.34197000;5108006;66;4491.05
4248;Juara;13;-11.26314000;-57.52181000;5105101;66;22622.35
4249;Ipiranga do Norte;13;-12.23994000;-56.15488000;5104526;66;3467.05
4250;Itanhangá;13;-12.23808000;-56.64391000;5104542;66;2898.07
4251;Alta Floresta;13;-9.91159000;-56.07059000;5100250;66;8953.19
4252;Carlinda;13;-9.97077890;-55.82341410;5102793;66;2416.14
4253;Paranaitá;13;-9.67158000;-56.47294000;5106299;66;4796.01
4254;Nova Monte Verde;13;-9.97957450;-57.46676100;5108956;66;5150.56
4255;Apiacás;13;-15.60471000;-56.07152000;5100805;66;20488.47
4256;Barra do Garças;13;-15.55361000;-56.04527000;5101803;66;9079.29
