id;bairro;id_cidade;latitude;longitude
378;Parque Taipas;1;-21.73689000;-48.68421000
379;Vila Santo Estevam Reis;1;-23.44015000;-46.71843000
380;Vila Santo Antônio;1;-23.42779000;-46.71525000
381;Parada;1;-23.43238000;-46.71733000
382;Sítio Botuquara;1;-23.74813000;-46.54833000
383;Parque Taipas - Parque das Flores;1;-23.56218000;-47.45364000
384;Jardim Marilu;1;-23.43169000;-46.71886000
385;Jardim Taipas;1;-23.43071000;-46.72394000
386;Jardim Shangrilá (Zona Norte);1;-23.42449000;-46.72607000
387;Jardim Donária;1;-23.43398000;-46.72902000
388;Jardim Rincão;1;-23.43930000;-46.72882000
389;Jardim Alvina;1;-23.55839000;-46.63292000
390;Parque Panamericano;1;-23.44750000;-46.72822000
391;Jardim Vivan;1;-23.45079000;-46.73267000
392;Jaraguá;1;-23.45932000;-46.75074000
393;Parque Pan Americano;1;-23.45163000;-46.72863000
394;Jardim Bandeirantes (Zona Norte);1;-23.47215000;-46.68985000
395;Jardim São João (Jaraguá);1;-23.45070000;-46.73609000
396;Parque Nações Unidas;1;-23.20508000;-45.89305000
397;Estância Jaraguá;1;-23.42702000;-46.71251000
398;Loteamento City Jaragua;1;-23.44051000;-46.72277000
399;Conjunto City Jaraguá;1;-23.56287000;-46.65468000
400;Pari;1;-23.52605000;-46.61358000
401;Belenzinho;1;-23.53932000;-46.58701000
402;Catumbi;1;-23.52658000;-46.60288000
403;Vila Maria Zélia;1;-23.53263000;-46.59797000
404;Alto do Pari;1;-23.52476000;-46.60577000
405;Belém;1;-23.54109000;-46.59166000
406;Chácara Tatuapé;1;-23.53896000;-46.58761000
407;Tatuapé;1;-23.54524000;-46.57437000
408;Vila Zilda (Tatuapé);1;-22.91765000;-45.44893000
409;Maranhão;1;-23.53088000;-46.56147000
410;Vila Moreira;1;-23.52720000;-46.56380000
411;Parque São Jorge;1;-23.53255480;-46.56396720
412;Jardim América da Penha;1;-23.52662000;-46.57489000
413;Parque da Mooca;1;-23.58273060;-46.59368840
414;Alto da Mooca;1;-23.56060000;-46.58806000
415;Vila Prudente;1;-23.45831000;-46.40968000
416;Parque da Vila Prudente;1;-23.58850000;-46.57599000
417;Vila Bela;1;-23.59662000;-46.56628000
418;Vila Zelina;1;-23.59029000;-46.58093000
419;Jardim Hadad;1;-23.57741000;-46.58133000
420;Vila Lúcia;1;-23.59249000;-46.57205000
421;Quinta da Paineira;1;-23.58880000;-46.58833000
422;Jardim Ibitirama;1;-23.59721000;-46.57799000
423;Jardim Avelino;1;-23.59456000;-46.56486000
424;Vila Santa Clara;1;-23.57718000;-46.55905000
425;Parque Sevilha;1;-23.57876000;-46.57301000
426;Vila Graciosa;1;-23.57953000;-46.56534000
427;Quarta Parada;1;-23.55087000;-46.58544000
428;Água Rasa;1;-23.55510000;-46.58050000
429;Vila Cláudia;1;-23.56102000;-46.58699000
430;Vila Bertioga;1;-23.56385000;-46.58215000
431;Vila Oratório;1;-23.57277000;-46.57074000
432;Vila Lúcia Elvira;1;-23.56312000;-46.57435000
433;Vila Canero;1;-23.56554000;-46.57295000
434;Vila Leme;1;-23.57055000;-46.57238000
435;Jardim Itália;1;-23.57028000;-46.57854000
436;Vila Libanesa;1;-23.50667000;-46.50766000
437;Vila Alpina;1;-23.59631000;-46.56194000
438;Vila Califórnia;1;-23.60651000;-46.55647000
439;Sítio Pinheirinho;1;-23.60075000;-46.54596000
440;Sítio da Figueira;1;-23.60450000;-46.55320000
441;Vila Independência;1;-23.58365080;-46.59777780
442;Parque São Lucas;1;-21.99021000;-47.42825000
443;Jardim Guairaca;1;-23.60022000;-46.53815000
444;Jardim Ângela (Zona Leste);1;-23.60563000;-46.51522000
445;Jardim Independência;1;-23.59098000;-46.56092000
446;Parque Independência;1;-23.68872000;-46.78873000
447;Vila Macedópolis;1;-23.59180000;-46.55236000
448;Cidade Continental;1;-23.59875000;-46.54179000
449;Jardim Panorama (Zona Leste);1;-23.60670000;-46.53409000
450;Vila Ivg;1;-23.60275000;-46.53252000
451;Vila Industrial;1;-23.60812000;-46.53666000
452;Vila Cunha Bueno;1;-23.60359000;-46.51607000
453;Vila Rosa Molla;1;-23.61046000;-46.54031000
454;Vila Elze;1;-23.60941000;-46.52872000
455;Vila Miami;1;-23.60443930;-46.52641750
456;Vila São Nicolau;1;-23.61248000;-46.53442000
457;Vila Iguaçu;1;-23.61392000;-46.53148000
458;Jardim Rosider;1;-23.54558890;-46.66537370
459;Vila Tolstoi;1;-23.59915000;-46.52408000
460;Vila Mendes;1;-23.61026000;-46.53077000
461;Parque Pereira;1;-23.61296000;-46.52652000
462;Vila Ema;1;-23.58971000;-46.54043000
463;Vila Nova Utinga;1;-23.61080000;-46.52729000
464;Jardim Cotiana;1;-23.60306000;-46.52191000
465;Jardim Teresa;1;-23.58868000;-46.55316000
466;Vila Darli;1;-23.58766000;-46.54913000
467;Vila Central;1;-23.58810000;-46.54990000
468;Vila Mercedes;1;-23.58713000;-46.54831000
469;Vila Paulo Silas;1;-23.59045000;-46.54475000
470;Vila Divina Pastora;1;-23.59198000;-46.54063000
471;Vila dos Minérios;1;-23.59643000;-46.53957000
472;Vila Anadir;1;-23.59756000;-46.53990000
473;Parque Residencial Oratorio;1;-23.59973000;-46.53691000
474;Vila Nova Pauliceia;1;-23.60175000;-46.52853000
475;Vila Sirene;1;-23.59778000;-46.53027000
476;Jardim Guiomar;1;-23.59791000;-46.52349000
477;Parque São Lourenço;1;-23.53671000;-46.63793000
478;Jardim Regina;1;-23.47137000;-46.47609000
479;Vila Bela do Sapopemba;1;-23.60068000;-46.51765000
480;Jardim Grimaldi;1;-23.59780000;-46.51389000
481;Parque Luis Mucciolo;1;-23.60215000;-46.51670000
482;Vila União (Zona Leste);1;-23.52085000;-46.47995000
483;Vila Antônio dos Santos;1;-23.60161000;-46.51392000
484;Vila Ivone;1;-23.58067000;-46.54442000
485;Vila Charlote;1;-23.58089000;-46.55389000
486;Chácara Belenzinho;1;-23.57511000;-46.53939170
487;Vila Margarida;1;-23.57898000;-46.54611000
488;Vila Diva;1;-23.75703000;-46.67928000
489;Jardim Thealia;1;-23.58041000;-46.54234000
490;Sapopemba;1;-23.61272000;-46.49448000
491;Vila Santa Virginia;1;-23.58505000;-46.54165000
492;Parque Tomas Saraiva;1;-23.58611000;-46.53454000
493;Vila São Domingos;1;-23.58348000;-46.53628000
494;Vila Carmem;1;-23.58355000;-46.53708000
495;Jardim Redenção;1;-23.58924000;-46.53692000
496;Vila Cleonice;1;-23.58850000;-46.53574000
497;Jardim Ana Rosa;1;-23.59806000;-46.53207000
498;Vila Nova;1;-23.43543000;-46.78728000
